Favorite Color,Favorite Music Genre,Favorite Soft Drink,Gender
Cool,Rock,7UP/Sprite,F
Neutral,Hip hop,Coca Cola/Pepsi,F
Warm,Rock,Coca Cola/Pepsi,F
Warm,Folk/Traditional,Fanta,F
Cool,Rock,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Fanta,F
Cool,Pop,Coca Cola/Pepsi,F
Warm,Pop,Fanta,F
Warm,Rock,7UP/Sprite,F
Neutral,Pop,Coca Cola/Pepsi,F
Cool,Pop,7UP/Sprite,F
Warm,Pop,7UP/Sprite,F
Warm,Pop,7UP/Sprite,F
Warm,Electronic,Coca Cola/Pepsi,F
Cool,Rock,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Coca Cola/Pepsi,F
Cool,Pop,7UP/Sprite,F
Cool,Rock,Coca Cola/Pepsi,F
Cool,Rock,Coca Cola/Pepsi,F
Cool,Pop,7UP/Sprite,F
Cool,Pop,Fanta,F
Warm,Jazz/Blues,Fanta,F
Cool,Rock,Coca Cola/Pepsi,F
Warm,Pop,Coca Cola/Pepsi,F
Cool,Folk/Traditional,7UP/Sprite,F
Warm,R&B and soul,Coca Cola/Pepsi,F
Cool,Pop,Other,F
Cool,Pop,Other,F
Cool,Pop,Coca Cola/Pepsi,F
Cool,Electronic,Fanta,F
Warm,Rock,Coca Cola/Pepsi,F
Neutral,Rock,Coca Cola/Pepsi,F
Cool,R&B and soul,Coca Cola/Pepsi,F
Warm,R&B and soul,Other,M
Neutral,Hip hop,7UP/Sprite,M
Warm,Electronic,Coca Cola/Pepsi,M
Neutral,Rock,Coca Cola/Pepsi,M
Cool,Pop,Fanta,M
Cool,Pop,Fanta,M
Warm,Rock,7UP/Sprite,M
Cool,Rock,Coca Cola/Pepsi,M
Neutral,Pop,7UP/Sprite,M
Warm,R&B and soul,Coca Cola/Pepsi,M
Cool,Rock,7UP/Sprite,M
Cool,Folk/Traditional,Other,M
Cool,Hip hop,Coca Cola/Pepsi,M
Cool,Hip hop,Coca Cola/Pepsi,M
Cool,R&B and soul,7UP/Sprite,M
Cool,Rock,Other,M
Warm,Hip hop,Coca Cola/Pepsi,M
Cool,R&B and soul,Coca Cola/Pepsi,M
Cool,Rock,Coca Cola/Pepsi,M
Cool,Hip hop,Other,M
Warm,Rock,Fanta,M
Cool,Electronic,Fanta,M
Cool,Electronic,Fanta,M
Warm,Folk/Traditional,Fanta,M
Warm,Electronic,Fanta,M
Warm,Jazz/Blues,Coca Cola/Pepsi,M
Cool,Pop,Other,M
Cool,Electronic,Coca Cola/Pepsi,M
Cool,Rock,Coca Cola/Pepsi,M
Cool,Hip hop,Coca Cola/Pepsi,M
Neutral,Hip hop,Fanta,M
Cool,Rock,Coca Cola/Pepsi,M
Cool,Electronic,Coca Cola/Pepsi,M
